date,category,buy_value,sell_value,net_value
2026-05-19,DII,16951.95,13150.27,3801.68
2026-05-19,FII/FPI,17907.55,20365.04,-2457.49
2026-05-20,DII,16000.79,14032.44,1968.35
2026-05-20,FII/FPI,14139.56,15736.91,-1597.35
2026-05-21,DII,15857.03,13364.61,2492.42
2026-05-21,FII/FPI,12322.16,14213.37,-1891.21
2026-05-22,DII,18436.72,12433.19,6003.53
2026-05-22,FII/FPI,10972.76,15413.23,-4440.47
2026-05-25,DII,16434.96,12578.08,3856.88
2026-05-25,FII/FPI,12083.12,11261.37,821.75
2026-05-26,DII,15536.74,14175.31,1361.43
2026-05-26,FII/FPI,13127.02,15534.89,-2407.87
2026-05-27,DII,16893.1,13072.1,3821.0
2026-05-27,FII/FPI,11418.65,12461.35,-1042.7
2026-05-29,DII,36999.7,20235.56,16764.14
2026-05-29,FII/FPI,89733.64,110839.5,-21105.86
2026-06-01,DII,15226.29,10117.16,5109.13
2026-06-01,FII/FPI,17725.89,21637.57,-3911.68
2026-06-02,DII,22508.77,12919.45,9589.32
2026-06-02,FII/FPI,16955.9,25318.82,-8362.92
2026-06-03,DII,17530.0,11789.11,5740.89
2026-06-03,FII/FPI,17053.63,22670.19,-5616.56
2026-06-04,DII,16824.35,12464.21,4360.14
2026-06-04,FII/FPI,14012.52,18459.58,-4447.06
2026-06-05,DII,22779.32,13645.75,9133.57
2026-06-05,FII/FPI,11044.57,19820.82,-8776.25
2026-06-08,DII,16683.18,11517.94,5165.24
2026-06-08,FII/FPI,8842.08,14397.75,-5555.67
2026-06-09,DII,17664.98,11505.5,6159.48
2026-06-09,FII/FPI,14735.47,19301.5,-4566.03
2026-06-10,DII,17396.4,14272.45,3123.95
2026-06-10,FII/FPI,14047.79,16172.77,-2124.98
2026-06-11,DII,16822.57,12598.06,4224.51
2026-06-11,FII/FPI,14000.58,15987.67,-1987.09
2026-06-12,DII,18877.03,13535.74,5341.29
2026-06-12,FII/FPI,12064.61,13146.79,-1082.18
2026-06-15,DII,21080.9,17891.64,3189.26
2026-06-15,FII/FPI,15650.2,15450.15,200.05
2026-06-16,DII,13553.36,13553.3,0.06
2026-06-16,FII/FPI,13887.15,14636.33,-749.18
2026-06-17,DII,16611.87,15050.47,1561.4
2026-06-17,FII/FPI,14806.3,14704.71,101.59
2026-06-18,DII,16163.18,12646.37,3516.81
2026-06-18,FII/FPI,14611.83,15637.03,-1025.2
2026-06-19,DII,18020.49,19180.13,-1159.64
2026-06-19,FII/FPI,31442.87,26583.8,4859.07
2026-06-22,DII,17391.78,16356.06,1035.72
2026-06-22,FII/FPI,10082.08,10717.99,-635.91
2026-06-23,DII,16863.04,16182.83,680.21
2026-06-23,FII/FPI,15396.07,15378.21,17.86
2026-06-24,DII,17274.01,13636.75,3637.26
2026-06-24,FII/FPI,16744.73,18588.13,-1843.4
2026-06-25,DII,24844.03,19096.28,5747.75
2026-06-25,FII/FPI,18988.03,18604.27,383.76
2026-06-29,DII,55273.85,52472.4,2801.45
2026-06-29,FII/FPI,24754.26,26104.36,-1350.1
