date,index,expiry,spot_at_entry,atm,sell_ce_K,sell_ce_entry,sell_ce_exit,sell_pe_K,sell_pe_entry,sell_pe_exit,buy_ce_K,buy_ce_entry,buy_ce_exit,buy_pe_K,buy_pe_entry,buy_pe_exit,lots,lot_size,sl_count,reentry_count,gross_pnl,brokerage,stt,txn,sebi,stamp,gst,total_charges,n_orders,net_pnl,max_loss_total,margin_est
2026-06-02,NIFTY,09-06-2026,23317.0,23300,23550,122.85,185.05,23050,78.7,37.0,23750,64.85,99.0,22850,42.05,18.8,1,75,1,0,720.19,160,14.97,25.01,0.0472,0.7,33.31,234.03,8,486.16,15000,22500.0
2026-06-02,SENSEX,11-06-2026,74091.9,74100,74600,555.45,884.45,73600,485.0,227.6,75000,445.0,655.6,73200,352.75,162.0,1,20,1,0,1656.85,160,23.23,23.62,0.0727,1.07,33.06,241.04,8,1415.81,8000,12000.0
2026-06-05,NIFTY,09-06-2026,23443.65,23450,23700,74.25,46.2,23200,55.65,55.65,23900,34.1,21.4,23000,24.1,21.0,1,75,2,2,-2002.88,240,13.29,23.61,0.0445,0.7,47.46,325.1,12,-2327.97,15000,22500.0
2026-06-05,SENSEX,11-06-2026,74493.65,74500,75000,492.85,370.1,74000,362.85,407.45,75400,355.65,258.5,73600,250.6,273.4,1,20,2,2,-5003.9,240,26.42,29.1,0.0895,1.42,48.45,345.48,12,-5349.38,8000,12000.0
2026-06-08,NIFTY,09-06-2026,23199.85,23200,23450,40.1,12.35,22950,34.75,36.8,23650,13.3,4.7,22750,11.65,9.8,1,75,0,0,1143.75,160,4.19,6.5,0.0123,0.17,29.97,200.84,8,942.91,15000,22500.0
2026-06-08,SENSEX,11-06-2026,73716.28,73700,74200,413.35,276.15,73200,344.7,371.0,74600,279.9,176.75,72800,233.9,245.85,1,20,0,0,394.0,160,14.76,15.22,0.0468,0.7,31.55,222.27,8,171.73,8000,12000.0
2026-06-12,NIFTY,16-06-2026,23348.7,23350,23600,48.4,179.4,23100,48.85,15.35,23800,14.8,85.55,22900,19.8,8.5,1,75,1,0,5700.75,160,8.97,12.19,0.023,0.26,31.0,212.43,8,5488.32,15000,22500.0
2026-06-12,SENSEX,18-06-2026,74570.48,74600,75100,378.1,989.15,74100,360.9,150.1,75500,245.3,735.05,73700,250.35,105.6,1,20,1,0,8469.3,160,19.75,17.78,0.0547,0.69,32.01,230.29,8,8239.01,8000,12000.0
2026-06-15,NIFTY,16-06-2026,23946.9,23950,24200,20.65,11.7,23700,26.45,23.1,24400,6.3,4.35,23500,9.95,7.8,1,75,1,1,72.94,200,3.75,6.31,0.0119,0.18,37.14,247.39,10,-174.45,15000,22500.0
2026-06-15,SENSEX,18-06-2026,76619.77,76600,77100,292.4,214.35,76100,288.05,326.75,77500,177.9,130.85,75700,185.8,204.15,1,20,0,0,213.0,160,11.44,11.83,0.0364,0.54,30.94,214.79,8,-1.79,8000,12000.0
2026-06-16,NIFTY,16-06-2026,23941.0,23950,24200,2.15,0.1,23700,2.85,0.15,24400,0.9,0.1,23500,1.35,0.1,1,75,2,2,71.25,240,0.48,0.77,0.0015,0.02,43.34,284.61,12,-213.36,15000,22500.0
2026-06-16,SENSEX,18-06-2026,76593.55,76600,77100,188.55,201.65,76100,182.35,102.25,77500,96.4,95.3,75700,97.85,50.6,1,20,0,0,373.0,160,6.46,6.6,0.0203,0.3,29.99,203.37,8,169.63,8000,12000.0
