date,n_open,open_mtm_pct,closed_count,cum_realized_pct
2026-05-27,0,0,0,0.0
2026-05-27,0,0,0,0.0
2026-05-29,1,-0.05,0,0.0
2026-06-01,0,0,1,3.1209
2026-06-02,0,0,1,3.1209
2026-06-03,0,0,1,3.1209
2026-06-04,0,0,1,3.1209
2026-06-05,0,0,1,3.1209
2026-06-08,0,0,1,3.1209
2026-06-12,1,-0.05,1,3.1209
2026-06-15,1,-0.1498,1,3.1209
2026-06-16,1,0.4168,1,3.1209
2026-06-17,2,0.5948,1,3.1209
2026-06-18,2,0.3646,1,3.1209
2026-06-19,2,0.3478,1,3.1209
2026-06-22,2,-0.2863,1,3.1209
2026-06-23,3,0.635,1,3.1209
2026-06-24,3,0.8454,1,3.1209
2026-06-25,3,-0.8545,1,3.1209
2026-06-25,3,-0.8545,1,3.1209
2026-06-29,3,0.156,1,3.1209
2026-06-30,4,-0.0795,1,3.1209
2026-07-01,4,-0.8677,1,3.1209
2026-07-02,4,-0.2531,1,3.1209
2026-07-03,4,5.0069,1,3.1209
2026-07-08,4,4.2962,1,3.1209
2026-07-09,4,3.9429,1,3.1209
2026-07-10,4,3.8048,1,3.1209
2026-07-13,4,3.8325,1,3.1209
2026-07-14,4,3.3059,1,3.1209
2026-07-15,4,4.5815,1,3.1209
2026-07-16,4,4.1014,1,3.1209
2026-07-17,4,2.8293,1,3.1209
2026-07-20,5,1.3818,1,3.1209
2026-07-21,5,2.5982,1,3.1209
2026-07-22,4,-2.6159,2,9.4449
2026-07-23,4,-2.0849,2,9.4449
2026-07-24,4,-2.8177,2,9.4449
2026-07-27,3,-2.9208,3,10.7421
2026-07-28,3,-4.8502,3,10.7421
2026-07-29,3,-4.3996,3,10.7421
2026-07-30,3,-4.5391,3,10.7421
2026-07-31,3,-4.7868,3,10.7421
2026-08-03,3,-5.1951,3,10.7421
2026-08-04,3,-5.8146,3,10.7421
2026-08-05,3,-5.4256,3,10.7421
2026-08-06,3,-5.4368,3,10.7421
2026-08-07,3,-5.1506,3,10.7421
2026-08-10,3,-4.5778,3,10.7421
2026-08-11,3,-5.015,3,10.7421
2026-08-12,3,-7.1974,3,10.7421
2026-08-13,3,-6.382,3,10.7421
2026-08-14,3,-8.3592,3,10.7421
